MORAN_LAG,MORAN_STD,POLY_ID,YCNTRD,XCNTRD,NAME,PRODUCT,ASSETS,LABORS
         1.9726121,         0.3203688,                 1,        30.6950223,       121.4185788,上海                              ,         24091.26000,          7839.40000,           284.12000
        -0.5292939,        -0.6248499,                 2,        24.9758031,       101.4877385,云南                              ,          5197.45000,          2927.63000,            84.20000
        -0.3064446,        -0.3495966,                 3,        44.0860891,       113.9100950,内蒙古                            ,         10699.44000,          5262.17000,           110.40000
         0.0443113,        -0.3326026,                 4,        40.1849626,       116.4098549,北京                              ,         11039.13000,          4316.11000,           120.41000
        -0.1152081,        -0.3832599,                 5,        43.6654068,       126.1929355,吉林                              ,         10026.55000,          3605.29000,           137.05000
        -0.6792545,         0.0192215,                 6,        30.6156088,       102.7103891,四川                              ,         18071.68000,          6464.16000,           311.76000
        -0.0068298,        -0.2303205,                 7,        39.3118652,       117.3292056,天津                              ,         13083.63000,          4264.56000,           136.82000
        -0.5023170,        -0.8117479,                 8,        37.2716680,       106.1647628,宁夏                              ,          1461.58000,          1019.90000,            27.28000
         1.1037758,        -0.2188661,                 9,        31.8258977,       117.2261296,安徽                              ,         13312.59000,          4970.46000,           232.06000
         0.8446429,         2.6775941,                10,        35.6319378,       119.9206948,山东                              ,         71209.42000,         17945.43000,           926.60000
         0.0023875,        -0.4221101,                11,        37.5754615,       112.2922110,山西                              ,          9249.98000,          5942.10000,           211.11000
        -0.4046803,         2.5308296,                12,        20.2229784,       109.9254623,广东                              ,         68275.77000,         15901.63000,          1436.02000
         0.2458585,        -0.5406734,                13,        20.9060504,       109.2130508,广西                              ,          6880.04000,          3041.08000,           122.88000
        -0.8031166,        -0.6846999,                14,        41.1172398,        85.1838892,新疆                              ,          4001.12000,          3276.11000,            58.25000
         0.9867852,         2.7771803,                15,        31.7564433,       121.5156574,江苏                              ,         73200.03000,         18030.40000,          1026.16000
         0.5197600,        -0.3953962,                16,        27.6132044,       115.7204952,江西                              ,          9783.96000,          2917.61000,           174.94000
         0.3382621,         0.3189430,                17,        38.2335004,       117.7976381,河北                              ,         24062.76000,          8454.18000,           319.94000
         0.2980614,         0.5013144,                18,        33.8818899,       113.6137227,河南                              ,         27708.15000,          8645.49000,           449.14000
         0.4874057,         1.1680440,                19,        27.1567964,       120.4764106,浙江                              ,         41035.29000,         11687.61000,           787.64000
         2.5308296,        -0.8319657,                20,         6.3209476,       113.2332079,海南                              ,          1057.45000,           555.54000,            12.00000
        -0.2215334,        -0.1060815,                21,        30.9758772,       112.2686643,湖北                              ,         15567.02000,          8025.03000,           272.39000
         0.0382013,        -0.2091081,                22,        27.6069679,       111.7082491,湖南                              ,         13507.64000,          4334.24000,           241.01000
        -0.5197923,        -0.6962433,                23,        37.8230851,       100.9325916,甘肃                              ,          3770.38000,          2265.69000,            69.03000
         1.1011591,        -0.0462581,                24,        23.6000896,       117.2893286,福建                              ,         16762.82000,          4740.79000,           379.47000
        -0.5302871,        -0.8822863,                25,        31.4926911,        88.4400522,西藏                              ,            51.60000,           119.79000,             1.69000
        -0.3802887,        -0.7134374,                26,        26.7445333,       109.5612907,贵州                              ,          3426.69000,          2230.64000,            74.97000
        -0.1379712,         0.5235558,                27,        38.7934335,       121.5953435,辽宁                              ,         28152.73000,          9212.65000,           386.62000
        -0.2941033,        -0.5460334,                28,        30.0583355,       107.8750524,重庆                              ,          6772.90000,          2275.98000,           137.29000
        -0.3014096,        -0.4611109,                29,        35.1955261,       108.8707034,陕西                              ,          8470.40000,          3953.72000,           137.69000
        -0.5610020,        -0.8308200,                30,        35.7490404,        96.0042483,青海                              ,          1080.35000,          1104.40000,            17.80000
        -0.3664283,        -0.5195836,                31,        47.8613257,       127.7630193,黑龙江                            ,          7301.60000,          4217.32000,           144.48000
