"","北京","天津","河北","山西","内蒙古","辽宁","吉林","黑龙江","上海","江苏","浙江","安徽","福建","江西","山东","河南","湖北","湖南","广东","广西","海南","重庆","四川","贵州","云南","西藏","陕西","甘肃","青海","宁夏","新疆"
"北京",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"天津",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"河北",0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"山西",0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"内蒙古",0,0,0.125,0.125,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.125,0
"辽宁",0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"吉林",0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"黑龙江",0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"上海",0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"江苏",0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"浙江",0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"安徽",0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"福建",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"江西",0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"山东",0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"河南",0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"湖北",0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0,0
"湖南",0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0
"广东",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0
"广西",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0
"海南",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"重庆",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0
"四川",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0
"贵州",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0
"云南",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0,0
"西藏",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.25
"陕西",0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0.125,0.125,0,0,0,0,0.125,0,0.125,0
"甘肃",0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667
"青海",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0.25
"宁夏",0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"新疆",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0
