"","北京","天津","河北","山西","内蒙古","辽宁","吉林","黑龙江","上海","江苏","浙江","安徽","福建","江西","山东","河南","湖北","湖南","广东","广西","海南","重庆","四川","贵州","云南","西藏","陕西","甘肃","青海","宁夏","新疆"
"北京",0,0.209847943036989,0.111108286323245,0.0545778771486677,0.0574234450524267,0.0495554413368105,0.0256228157538106,0.019413726902543,0.0247945312709758,0.0269991921756338,0.0194943796187476,0.0316783314868356,0.0160198683841729,0.0211316258470135,0.0462759670130291,0.0385850377211027,0.0263495346915492,0.0198138875094361,0.0126763442391788,0.012929130225731,0.00782239916767256,0.020089849250104,0.0159215706911394,0.0176377986025921,0.0124870150001983,0.00908387763570279,0.0294293988951976,0.0169936948446905,0.0127410334717339,0.0249792935078608,0.0085167031952092
"天津",0.184082401294294,0,0.198512251878809,0.0438059560994322,0.0397450044975743,0.054308801109983,0.0236343535576016,0.0173022725325581,0.024469904041225,0.0270201422555778,0.0185883400248597,0.0311744867277296,0.0148546270242578,0.0197644362398953,0.0518553467932401,0.0354729580175723,0.0239333362226053,0.0179746284991505,0.0113992756549758,0.0116024791952227,0.00702056936429103,0.0176424316643638,0.0137210762247278,0.0157973086673855,0.0109239583287905,0.00779833045898807,0.0248107603481948,0.0141759234526178,0.0107949835760289,0.020564510210533,0.00724914603751534
"河北",0.102233925087788,0.208222831217632,0,0.0441527895534179,0.0348430706099241,0.0637732134450631,0.0244826538503361,0.0176674751852758,0.0292729881794335,0.0327797784904335,0.0214820823188258,0.0380551330266789,0.0167194517523266,0.0226225389037825,0.072905717377924,0.0405536884372688,0.0268322142950222,0.0199884097110819,0.0124548631943213,0.0126599213380895,0.00759399782149115,0.0190416601861523,0.0144846079155157,0.0173178906448569,0.0116473396120372,0.00812741565057014,0.0259615766200023,0.0145115347985256,0.0111609398640118,0.020973114740748,0.00747717617146327
"山西",0.0629774575511318,0.0576227649716642,0.0553704490957587,0,0.0457630551016708,0.0327212384937029,0.02022953076056,0.0165252717810886,0.0268612467851746,0.028151288567666,0.0231725611384083,0.0405218697865579,0.0206851960952353,0.0291399261261973,0.0389991305055164,0.0782611197662865,0.0465189605950668,0.0307450994370633,0.0175301349522626,0.0181110392396985,0.00981838037397457,0.0352119256051513,0.0259236755785012,0.0274852442410263,0.0184968592447076,0.0124721034824924,0.0736612946727179,0.0270198170848822,0.0187313563556699,0.0500422222982492,0.0112297803119171
"内蒙古",0.0914736666774697,0.0721741769559763,0.0603218537344823,0.063176181024788,0,0.0454192907040056,0.0344853249909361,0.0295181951409091,0.0276063988840014,0.0292562031161154,0.0233408538845345,0.0333702333121333,0.0204127264403313,0.02557472483671,0.0408584230513878,0.0415169725499222,0.0320774971960536,0.0254924265761192,0.0175181822824091,0.0179199020240423,0.0112208780789777,0.0277538859850441,0.0241934768075438,0.0237058767300388,0.0185946248824293,0.014916458540041,0.0414724134305859,0.029412459766464,0.0214578108553348,0.041083062505058,0.0146758190361555
"辽宁",0.0642371257114133,0.0802522861852293,0.089843045912349,0.0367583493349855,0.0369596845324066,0,0.0514847175448618,0.031448690553181,0.0425767358727913,0.0490073056986645,0.0295018746908557,0.0419357853829686,0.0218396299796424,0.027307365466386,0.0964004496411731,0.0368006368816531,0.0283397772355642,0.0231008903041569,0.0157246664624465,0.0158531913577895,0.0102853146680949,0.0212042594844836,0.0167586687147285,0.0202526003780082,0.0141360665812956,0.0101587710541783,0.0260812641648924,0.0166728212960808,0.0133824360723574,0.0222429094496841,0.0094526793876782
"吉林",0.0501337644733022,0.0527156585563047,0.0520611034947971,0.0343021062130708,0.0423575606974063,0.077711813740716,0,0.11619860726002,0.0376650733068415,0.0406873618560485,0.0297977109039454,0.0350512602761041,0.0237142743998187,0.027161086403313,0.0510767568474364,0.0326668283412259,0.0276328399406185,0.0240718856686284,0.0182441909343493,0.018333049321288,0.0131693862244694,0.0228134880855325,0.0193775017853894,0.0219410833409281,0.0168046060245325,0.0131237253741293,0.0269979288472637,0.0200784117141128,0.0166801180533192,0.0247610729690094,0.0126697449460791
"黑龙江",0.0466480407903646,0.0473936422766325,0.0461371109888293,0.0344115803896625,0.0445253608323364,0.0582951343359721,0.142699335963692,0,0.0349321891547949,0.0370090807053328,0.0291262442885752,0.0333185787373834,0.024192599748778,0.0271365992127188,0.0440050386347841,0.0321412137921094,0.0278962433403511,0.0247353956666646,0.019434812283963,0.019537718506818,0.0145268721235886,0.0239507833981323,0.0210195289806615,0.022931520720774,0.0183472684603139,0.0150092651423259,0.0281071268316134,0.0223166761616977,0.01880844519047,0.0265770368992324,0.0148295564414279
"上海",0.0254785716671655,0.0286644680774801,0.0326917106791993,0.023920863763949,0.0178082846953149,0.0337517881626986,0.0197812863385149,0.0149389641875591,0,0.256509506196618,0.0746687216458824,0.0629623464215203,0.03330475563412,0.0422038918915112,0.0529934495647798,0.03243030718614,0.0298660995963446,0.026831549565895,0.0175837670235205,0.0174741203484947,0.0106332943580509,0.0201645678448862,0.0146138404044772,0.0218754620905839,0.0131853645373441,0.00828784818986613,0.02050934489377,0.0126045449120865,0.0105511366612285,0.0164588564217303,0.00725128703926882
"江苏",0.0276151097747612,0.031504753112986,0.036437907797674,0.0249531741735018,0.0187848236518783,0.0386689232031519,0.0212692449321482,0.0157535998207291,0.25531732952001,0,0.0577086438248777,0.0634323009845592,0.0296235174080794,0.038199477432096,0.0649341299123714,0.0332564067224918,0.0293247642827721,0.0255542902791727,0.0166430909355846,0.0165894504527535,0.0101730880954776,0.019797201115024,0.0144444041012684,0.020993674702224,0.0128699585872524,0.00822726072776873,0.0207665191504742,0.0126817075532609,0.0105387213748621,0.0166832560763531,0.00725327029443579
"浙江",0.0258664641324134,0.0281164639416648,0.0309781471077392,0.0266460721400694,0.0194418479824115,0.0301983009702779,0.0202072440557814,0.016083762172651,0.0964155733205234,0.0748639110100499,0,0.0620542923719261,0.0739210614325781,0.0738896681919632,0.0415652073204576,0.0367411455282685,0.0389966650855105,0.0402094683124203,0.0279617203173909,0.0274056042937403,0.0160038320744,0.027300668984231,0.0195047300607705,0.0323199325649068,0.018470046267372,0.0109200271538295,0.0250057582204096,0.015855708664583,0.0136111079199825,0.0201439502843687,0.00930161811730907
"安徽",0.033739646793298,0.0378503578824274,0.0440496935553,0.0374023788620167,0.022311595713704,0.0344562699973882,0.0190800016473834,0.0147686299310334,0.0652589320225064,0.0660530224063432,0.0498106734213193,0,0.0344482932065306,0.0633424994182066,0.0607663551607746,0.0681757790283849,0.0563387807710675,0.0407968616332182,0.0206711173288842,0.0209217150646355,0.0109768226207252,0.0297765444119674,0.0194542973741984,0.0308141988365135,0.0165092533076237,0.00984345394464083,0.0314534215230209,0.0163212941590144,0.0131304113345367,0.02298384370768,0.00849385493565681
"福建",0.023316895673619,0.0246471088637218,0.0264475369455531,0.0260917340877609,0.0186511647066532,0.0245223626060712,0.0176407954405761,0.0146544604808696,0.0471735828348016,0.0421553215276678,0.0810872053928534,0.0470761851274386,0,0.0898730816030978,0.0314423466068251,0.0354656628692102,0.0434020970535556,0.0563644726446834,0.0478009793579358,0.0454853190469981,0.0218184045975228,0.033920160601919,0.0239352810858952,0.0464148054874638,0.0244147423395629,0.0129474587618424,0.0270252175729254,0.0178656695874602,0.0158008814153321,0.0219707243886158,0.0105883412915677
"江西",0.0241376122169174,0.0257358353833762,0.0280836887605009,0.0288457181228325,0.0183385721838997,0.0240628156634975,0.015856417333554,0.0129000775656812,0.0469131635305877,0.0426601925453793,0.0636088380788524,0.0679326187469762,0.0705308699579278,0,0.0335729583299266,0.0459545112225635,0.0630646307445993,0.0757450339019744,0.0323603541106003,0.0325202364076713,0.0141767729585565,0.036982396175021,0.0227611521630368,0.0488585646838198,0.0209952959878878,0.0110291814671735,0.0297418932583323,0.016911894422102,0.0142486488306233,0.0223680863419588,0.00910196890417029
"山东",0.0514240198141747,0.0656895834990745,0.0880488162400629,0.0375575245337122,0.028502652398729,0.0826408598575978,0.0290088405278689,0.0203511255740684,0.0573077733913252,0.0705484605413441,0.0348107053735125,0.0634009075201415,0.0240056618710661,0.0326616964086101,0,0.045171424856618,0.0330077789589123,0.0257490097034528,0.0160974472900021,0.0162385064094169,0.00983425831611073,0.0222758660945065,0.0164928878781874,0.0216611352563906,0.0138862682626666,0.00931163068316122,0.0267356657037177,0.0154681120456037,0.01236202235561,0.021342123417996,0.00840723521635947
"河南",0.0401391543125104,0.0420667673384979,0.0458491262289812,0.0705548482460568,0.027112409907976,0.0295331568421273,0.0173681194242926,0.013915123668457,0.0328307781359012,0.0338242836837427,0.0288054281435445,0.0665887964554479,0.0253481100837993,0.0418519836453829,0.0422865797081891,0,0.0864333923594367,0.042205424769926,0.0195628265972694,0.0202001077382569,0.0100414100912787,0.0401371191205695,0.0243169613843446,0.0337222088376409,0.0183963790394171,0.0109455194958686,0.0562375378422253,0.0208424936998664,0.0156298958906963,0.0338193585295991,0.00943469877869773
"湖北",0.0273320768994497,0.0283005822791538,0.0302487624682284,0.0418178019609387,0.0208878295691452,0.0226778231302288,0.0146494642522557,0.0120426181028849,0.0301480354623442,0.0297398113705207,0.0304859340031512,0.0548692337038183,0.0309313312162769,0.0572695996929697,0.0308109767527638,0.0861850530365072,0,0.0808097853077778,0.0250773021343285,0.026225987138174,0.0111852240706242,0.0614878459707478,0.028853117291901,0.0549396975534481,0.0223682235383637,0.0115792298964631,0.0509406922001696,0.0208390128256815,0.0162817812545836,0.0314726012726343,0.00954256564446563
