"","cv","cR5","gini","gini.r","MHHI","HKMT","sp","theil"
"农副食品加工业",1.23022120065384,0.486593987780178,0.522928658753118,0.446162611381363,0.0506423198484922,0.0330936575604517,0.0869297234611963,0.482565367299816
"食品制造业",0.876433539016004,0.427001372411931,0.472305434200472,0.304168405223686,0.0425923392518021,0.0179650396267047,0.081739334316538,0.349373958621766
"饮料制造业",0.793569959933033,0.386783444110438,0.416264913070773,0.314159139524804,0.0409237592112665,0.0242805353831237,0.0848515585466925,0.284459317301194
"烟草制品业",1.13891552033657,0.492873945609701,0.546049337755949,0.590780043668617,0.0484438989779852,0.0460052986987046,0.0829846343854175,0.4316864116855
"纺织业",1.57155539425286,0.642787838546966,0.678813812109335,0.404602626714685,0.0593944102797579,0.0296343627513068,0.0631275767509638,0.805173514908935
"纺织服装鞋帽制造业",1.8326426248408,0.769776514777299,0.774097448622806,0.552496113853988,0.066503563568849,0.037428553142749,0.0632343575632142,1.09773688611504
"皮革毛皮羽毛绒及其制品业",2.15830897895573,0.837651284574407,0.82607656443685,0.663313935856706,0.0757070726942819,0.0483643355943791,0.0618847688694654,1.34166182295214
"木材加工及木竹藤棕草制品业",1.04276410839173,0.472541773995603,0.559332784888086,0.666397420774706,0.0462122073726349,0.0294614516885538,0.0962317160809339,0.433781594676024
"家具制造业",1.56797504627132,0.608031941166786,0.688152498033405,0.493632718576306,0.0592990430110555,0.0301401819843227,0.0815500038930422,0.794425419606852
"造纸及纸制品业",1.17820576525732,0.535138899009773,0.568277317614926,0.485222647431199,0.049381072363437,0.0169754094949876,0.0788427376542575,0.498100796312857
"印刷业和记录媒介的复制",0.919058734353729,0.434240547395741,0.469516113175642,0.318768159616693,0.0434876705944517,0.0211590712216902,0.0859788672150603,0.353509312428855
"文教体育用品制造业",2.49708971919575,0.833278363020991,0.845029466300985,0.696346583869973,0.0855557414819137,0.0571888610473283,0.0622210586134759,1.39278116579235
"石油加工炼焦及核燃料加工业",1.23844107942314,0.563620707396195,0.600322774561465,0.61011792496377,0.0508436724126622,0.0437218892971584,0.0863660393083179,0.560023887209195
"化学原料及化学制品制造业",0.743910927425424,0.374523698384036,0.399861767450789,0.309923325894029,0.0399733488630143,0.017707672235616,0.0822334508322003,0.254958913698978
"医药制造业",0.696748592087004,0.349442398147109,0.401141119693089,0.33740897456244,0.0391081459789715,0.0191069038607295,0.077802076886176,0.253031474615542
"化学纤维制造业",1.71290293132771,0.61864096799208,0.695604986921442,0.578063994885162,0.063207618475014,0.0403464866521805,0.0675932182885034,0.701901773989646
"橡胶制品业",1.25132245350379,0.570757130631942,0.614861916146886,0.42485310623837,0.0511602931903052,0.0168044555678265,0.0722349406395936,0.589809564677741
"塑料制品业",1.52983763091266,0.626858736635248,0.657626277207055,0.349608359927406,0.0582872636100476,0.0256558002587476,0.0759764454510166,0.719945295520785
"非金属矿物制品业",0.760567297249774,0.374624828459053,0.415657106153077,0.332187947013801,0.0402877595369415,0.0179821992750459,0.082119703204164,0.269160711545685
"黑色金属冶炼及压延加工业",0.87034786173398,0.422790920148711,0.440410678344816,0.406945433514582,0.0424664860496545,0.0349896006646478,0.080039088772748,0.289967177372289
"有色金属冶炼及压延加工业",0.898539113377784,0.434175422416916,0.473308427644583,0.595688397380538,0.0430536806815709,0.0396005966082046,0.0830805675540878,0.362165558702736
"金属制品业",1.23086943389872,0.531896255485514,0.594301199849526,0.279659645182705,0.0506581791295818,0.012316548970119,0.0750447945263853,0.544453243118574
"通用设备制造业",1.0443627953214,0.481737436572009,0.543298867381235,0.319848593388388,0.0462485478825828,0.0206112345365129,0.0711654122041911,0.440983151982476
"专用设备制造业",0.81286526708732,0.374410734450458,0.464549198885862,0.335124871142497,0.0413033677498138,0.0182685213313146,0.074417324531877,0.347531774139661
"交通运输设备制造业",0.771023024329683,0.344293832149731,0.446741510730282,0.425529869813393,0.0404874030412112,0.0217618470767207,0.0776278959811639,0.309287427323184
"电气机械及器材制造业",1.58104124599394,0.62550972046906,0.661709845288986,0.353647430095089,0.0596473875122128,0.0252454840937153,0.0694818953392098,0.75314643356359
"通信设备计算机及其他电子设备制造业",2.06418563386833,0.72848306318345,0.775810603459838,0.578265684236346,0.0730160072474414,0.0437952136254864,0.0674375898374902,1.07247623692908
"仪器仪表及文化办公用机械制造业",1.52581342747436,0.616010478210902,0.675573245954896,0.470309910956582,0.0581809442224254,0.028119646315443,0.0723639598061183,0.75431049621567
"工艺品及其他制造业",1.74418842677188,0.719498415274931,0.737175154682693,0.520641665464325,0.0640633953819111,0.0357111024483699,0.0670551988485414,0.977008819074461
"废弃资源和废旧材料回收加工业",1.49443386575569,0.613425232244531,0.66232598686899,0.726217686464734,0.0573548894434837,0.0466788406476491,0.0758365082250466,0.665459358200493
