province,制造业,农副食品加工业,食品制造业,饮料制造业,烟草制品业,纺织业,纺织服装鞋帽制造业,皮革毛皮羽毛绒及其制品业,木材加工及木竹藤棕草制品业,家具制造业,造纸及纸制品业,印刷业和记录媒介的复制,文教体育用品制造业,石油加工炼焦及核燃料加工业,化学原料及化学制品制造业,医药制造业,化学纤维制造业,橡胶制品业,塑料制品业,非金属矿物制品业,黑色金属冶炼及压延加工业,有色金属冶炼及压延加工业,金属制品业,通用设备制造业,专用设备制造业,交通运输设备制造业,电气机械及器材制造业,通信设备计算机及其他电子设备制造业,仪器仪表及文化办公用机械制造业,工艺品及其他制造业,废弃资源和废旧材料回收加工业
北京,994566,32360,36055,28261,876,22249,50358,2722,2963,16868,11295,42543,8386,16468,37254,48286,913,7967,21152,63205,37862,6093,41480,65311,78531,115858,51237,103419,30457,12892,1245
天津,728962,12312,16700,13397,918,17839,44928,4737,2546,11775,7494,7204,9784,15781,39129,27206,1151,10848,27907,14293,45618,2953,27161,38752,46035,94080,42760,118793,15235,11296,330
河北,1169822,31651,22694,21087,6618,83290,18436,5196,4512,4633,14863,15822,1748,21707,100735,52485,4545,15528,20081,98992,217411,9892,33160,82777,72927,106912,46398,39532,7923,7635,632
山西,697921,9830,9447,17448,1226,13174,6132,345,1008,985,1871,7853,1732,87529,90284,19498,1214,3631,2726,48446,83249,51853,11920,45433,112121,33610,19676,7753,2549,4745,633
内蒙古,377575,19222,27213,16905,2298,29358,2835,3330,5008,900,4661,3529,12,5686,30072,14627,0,327,2921,30733,72474,33955,3997,13448,32423,13445,2709,2562,159,2431,335
辽宁,1460104,46394,18804,17444,2173,34697,62616,9213,12330,15431,14284,11055,4659,70297,100946,37306,5353,17023,21304,59069,220351,28780,58333,156203,104091,155258,74591,71292,20842,9115,850
吉林,590414,36418,12156,18212,4418,10616,15622,1319,28920,4857,6923,7150,295,5227,54894,36274,9684,2397,8185,35706,34522,7748,5874,17985,22063,180838,9966,3974,5871,1222,1078
黑龙江,786306,46709,41921,26968,5313,30787,5169,2927,31603,13976,12818,10235,2407,57502,38583,37066,1243,7516,10977,43156,24676,7441,22430,121454,54327,61241,39359,9873,14164,4261,204
上海,1407073,7853,33513,9625,4493,37188,92022,14706,6600,18690,10523,18266,20671,22902,54039,33685,1903,21990,55231,32543,50481,10693,52445,106740,77788,164917,93688,268126,70301,14418,1033
江苏,3082048,45778,38955,46311,5865,279327,232283,46383,18177,16889,47981,20571,35255,17011,181769,71998,25414,39598,57161,92064,78143,39745,108140,237067,122633,195149,267615,616757,71613,24694,1702
浙江,3330811,34803,47418,48340,3189,416880,367273,167784,25670,81243,61920,27791,52075,8775,148654,76010,58630,45900,107395,93634,42295,36292,126484,240506,100905,195457,346551,217729,70198,75663,5347
安徽,706086,25087,21586,34685,7022,47345,20449,6612,3585,1208,8206,10657,4391,1835,51202,21806,5681,19646,12352,41831,60533,28053,23688,61887,28242,82298,47843,19505,3659,3623,1569
福建,2264122,62800,59598,22122,5444,136055,490029,250003,35748,32768,51117,13800,58626,3003,46839,13051,13156,46031,101671,110594,30615,22085,59094,39109,44060,82129,97801,166638,39383,129549,1204
江西,680148,17673,17309,13891,8218,49937,24506,31663,8206,4084,8990,6659,11057,7512,27495,53091,5175,3615,7465,58942,60653,42928,10490,21396,19920,54944,43298,24115,7380,29441,95
山东,3372251,254737,73745,78089,6000,494679,185330,86872,17670,23636,102059,25154,39184,60558,226967,73622,13585,74104,48123,193638,135564,35354,85571,239434,162721,207003,130099,203627,26316,68031,779
