"","cv","cR5","gini","gini.r","theil","HHI"
"北京",0.894003851851115,0.428653302043303,0.488127866134922,0.35091711871248,0.380077824384005,0.0590867152517937
"天津",1.10290930609581,0.479385756733547,0.535001067649428,0.297969750307296,0.470281145408045,0.0725287324296771
"河北",1.20426481729917,0.519173002388398,0.583013602010421,0.35563879142897,0.552556839499562,0.0800637319503928
"山西",1.36167281252763,0.609003024697638,0.668195822380648,0.621880493978826,0.74382725541964,0.0930782584477
"内蒙古",1.28184859729322,0.528787658081176,0.627266745360022,0.532260753614615,0.629236642005896,0.0862788210723278
"辽宁",1.09105113323053,0.504655147852482,0.553781525623966,0.351597516533368,0.486559238002268,0.0716904274270948
"吉林",1.69504151855429,0.582862195002151,0.629545042794635,0.524884379193329,0.740970469887084,0.125913118598958
"黑龙江",0.982553091786452,0.433969726798473,0.506740071448888,0.478303756926969,0.41433842856134,0.0644410075191048
"上海",1.19882677696187,0.515604378735147,0.561501122518531,0.334229962966154,0.517181711280539,0.0796426484374033
"江苏",1.23493850723596,0.529858392860851,0.567904713426558,0.268557774107087,0.535388313866136,0.0824745782033015
"浙江",0.98198533537315,0.47704267819459,0.503746830053888,0.352129917808433,0.399694315400092,0.0644050675197218
"安徽",0.905760693897341,0.430206802004288,0.497303102767495,0.325277739824997,0.385685708970752,0.0597685228929693
"福建",1.26639665629005,0.51776096871105,0.547492825794784,0.471099391569168,0.518503982216534,0.0850100602675729
"江西",0.817589689845663,0.408097943388792,0.454934554811904,0.345277750266206,0.317702837802527,0.0548723712525732
"山东",0.935746517596106,0.421919957915351,0.484404497685415,0.278228297413335,0.37497402840805,0.0615478053451155
"河南",0.847349017308326,0.390570212985905,0.475271268875643,0.321261409128561,0.357972377923046,0.0564689003965202
"湖北",1.12782285488283,0.490050907826709,0.543871261512398,0.35651896678259,0.479299948680117,0.0743194970754283
"湖南",0.901193194646068,0.446180632928316,0.48588248163649,0.344011885433293,0.363879173020604,0.0595025844980169
"广东",1.36148975585459,0.514421510348981,0.55713373372636,0.405881264899411,0.55734427407892,0.0930621958929032
"广西",1.10704781246429,0.508423153288221,0.573715006429684,0.50032274557721,0.527590501079263,0.0728234343481972
"海南",1.30030546881348,0.550525743532625,0.600634266581256,0.587684954860878,0.539676214187283,0.0878144833939565
"重庆",1.6204965043932,0.575015762541235,0.626056066239069,0.42109837148245,0.719465930708557,0.117949176335297
"四川",0.987727671163485,0.463287544143417,0.533657157006391,0.36216468324836,0.445393636253314,0.0647695251323102
"贵州",1.19870422308704,0.554613380787496,0.603940844452938,0.542276645350863,0.558599467102054,0.0796331806877271
"云南",1.18639848846667,0.542378509350872,0.595035912088717,0.656469462046169,0.576528847777616,0.0786874442551603
"西藏",2.61035231106675,0.851914782381388,0.86437652954989,0.860706859031031,1.00096554942617,0.252893596054283
"陕西",1.3690748402146,0.526924583908281,0.617061936071951,0.48880855676577,0.65780768015906,0.0937295684723889
"甘肃",1.73265767943223,0.63329249942375,0.674227206279176,0.739131102719533,0.829120794814263,0.130067751543076
"青海",1.72441221480251,0.741098356707911,0.738222387951696,0.710879082022951,0.819733135233303,0.129149252344714
"宁夏",1.34817773896042,0.580577727099962,0.639128297880706,0.593079806920523,0.545565711672962,0.091899903621138
"新疆",1.30441524711235,0.591126890431795,0.644279102479196,0.630705311158625,0.660152955667676,0.0881594166334175
