province,y2010,y2009,y2008,y2007,y2006,y2005,y2004,y2003,y2002,y2001,y2000,y1999,y1998,y1997,y1996,y1995,y1994
北京,75943,70452,66797,61274,52054,45993,41099,34892,30840,26998,24122,21397,19118,16609,14254,12690,10240
天津,72994,62574,58656,47970,42141,37796,30575,25544,21387.42,19141.12,17353.36,15405.06,14242.52,13141.58,11733.93,9769.24,7750.57
河北,28668,24581,22986,19662,16682,14659,12487,10251,8960,8251,7592,6849,6501,6079,5345,4444,3439
山西,26283,21522,21506,17805,14497,12647,10742,8642,7082,6226,5722,5229,5104,4723,4177,3515,2729
内蒙古,47347,40282,35263,26777,20692,16371,12767,10039,8162,7216,6502,5861,5406,4980,4457,3772,3094
辽宁,42355,35239,31736,26054,21914,19074,15835,14270,13000,12015,11177,10086,9415,8725,7730,6880,6103
吉林,31599,26595,23521,19383,15720,13348,11537,9854,8714,7893,7351,6382,5983,5591,5178,4402,3657
黑龙江,27076,22447,21740,18580,16255,14440,12449,10638,9541,8900,8294,7578,7375,7133,6382,5402,4390
上海,76074,78989,75109,68024,58837,52535,46338,39128,35329,32201,29671,26527,24513,22583,19779,17022,13807
江苏,52840,44744,40497,34294,28943,24953,20223,16830,14396,12882,11765,10695,10049,9371,8471,7319,5801
浙江,51711,44641,42166,37358,31825,27661,24352,20444,16978,14713,13416,12214,11394,10624,9552,8149,6201
安徽,20888,16407.66,14447,12039,9996,8666,7681,6375,5736,5313,4779,4495,4235,3929,3524,3070,2257
福建,40025,33840,30122,25906,21384,18605,16469,14333,12938,11892,11194,10323,9603,8775,7646,6526,5193
江西,21253,17335,15900,13322,11145,9440,8097,6624,5829,5221,4851,4402,4124,3890,3452,2896,2376
山东,41106,35894,32936,27604,23603,19934,16413,13268,11340,10195,9326,8483,7968,7461,6746,5701,4441
河南,24446,20597,19181,16012,13172,11346,9201,7376,6487,5959,5450,4832,4643,4389,3978,3297,2467
湖北,27906,22677,19858,16386,13360,11554,9898,8378,7437,6867,6293,5452,5287,4884,4311,3671,2991
湖南,24719,20428,18147,14869,12139,10562,9165,7589,6734,6120,5425,4933,4667,4420,3963,3359,2630
广东,44736,41166,38748,33890,28747,24647,20870,17795,15361,13849,12736,11415,10819,10130,9139,8129,6530
广西,20219,16045,14652,12277,10121,8590,7461,6169,5558,5058,4652,4444,4346,3928,3706,3304,2675
海南,23831,19254,17691,14923,12810,11165,9812,8592,7781,7052,6798,6294,5912,5567,5346,5063,4702
重庆,27596,22920,20490,16629,13940,12403,9624,8091,7052,6219,5616,5207,5016,4733,4130,3395,2541
四川,21182,17339,15495,12963,10613,8721,7895,6623,5890,5376,4956,4540,4294,4032,3550,3043,2481
贵州,13119,10309,9428,7273,5932,5119,4317,3701,3257,3000,2759,2545,2364,2250,2048,1826,1527
云南,15752,13539,12570,10609,8929,7809,7012,5871,5366,5015,4769,4558,4446,4121,3779,3083,2515
西藏,17319,15295,13824,12083,10422,9036,8103,6893,6117,5324,4572,4180,3666,3144,2688,2358,1964
陕西,27133,21688,19480,15386,12724,10594,8587,7028,6145,5506,4968,4415,4070,3834,3446,2965,2424
甘肃,16113,12872,12110,10346,8757,7477,6566,5429,4768,4386,4129,3778,3541,3199,2946,2316,1921
青海,24115,19454,18421,14506,11889,10045,8693,7346,6478,5774,5138,4728,4426,4122,3799,3513,2942
宁夏,26860,21777,19609,15142,12099,10349,9199,7734,6647,6039,5376,4900,4607,4277,3926,3448,2740
新疆,25034,19942,19797,16999,15000,13108,11337,9828,8457,7945,7372,6443,6174,5848,5102,4701,3888
