year,Gini,Theil,var,hhi
1994,0.302658867,0.159667527,0.63084013,0.04509546
1995,0.301078244,0.158905035,0.629664354,0.045047652
1996,0.298028924,0.156578859,0.625625373,0.0448841
1997,0.303129392,0.163020287,0.641502817,0.045533092
1998,0.306192255,0.16845336,0.655442842,0.046116301
1999,0.311069601,0.176070015,0.673866238,0.046906313
2000,0.316668201,0.181696102,0.685669001,0.047423935
2001,0.316565832,0.182683609,0.688796999,0.047562623
2002,0.319783523,0.186544616,0.696293954,0.047897589
2003,0.322025267,0.186251497,0.690656613,0.047645373
2004,0.318887324,0.183259976,0.684935493,0.047391504
2005,0.320369846,0.180357813,0.672386424,0.046842048
2006,0.314159489,0.17224608,0.652956757,0.046011372
2007,0.307146231,0.16390051,0.633883151,0.045219608
2008,0.294316681,0.147745142,0.593731228,0.043629573
2009,0.289858391,0.142250805,0.578713191,0.043061579
2010,0.262983096,0.114839829,0.509480453,0.040631301
