province,year,PAT ,NPO,ERD,HRD
北京,2001,369,4301058,128924,6174
北京,2002,779,4437828,204882.915,4974
北京,2003,896,3810786,250123.7289,6208
北京,2004,679,4521331,263450.0674,7509
北京,2005,777,3973320,209480.6385,8591
北京,2006,944,21044323,348761.7273,6466
北京,2007,1418,15659349,301690.7899,8421
北京,2008,2856,13574598,314908.0404,8039
北京,2009,2958,14647597,448397.0417,13459
北京,2010,2804,13659447.3,377899.6149,8440.293
天津,2001,63,3602588,72321,2501
天津,2002,54,4620500,79593.44789,2472
天津,2003,461,4948193,76137.15337,1935
天津,2004,295,9166302,85609.71599,2504
天津,2005,393,8835714,91108.51458,3465
天津,2006,541,31173297,133314.7052,3125
天津,2007,563,9174697,159808.0325,4434
天津,2008,1217,8528817,238862.9726,5676
天津,2009,2464,8261090,186893.9783,6401
天津,2010,1889,8539382.2,226241.0978,6749.621
河北,2001,22,177784,24136,1555
河北,2002,24,188994,21245.73797,2577
河北,2003,31,218674,29947.957,3125
河北,2004,82,251745,29823.54309,2744
河北,2005,118,265957,35081.08465,3468
河北,2006,160,1103154,36753.67002,3296
河北,2007,164,399415,46168.19883,2815
河北,2008,265,514515,49194.62078,3008
河北,2009,481,597923,76635.51445,6337
河北,2010,349,694239.7,93180.98694,6632.434
山西,2001,2,44565,1516,327
山西,2002,9,48454,799.904448,159
山西,2003,45,52503,2145.600275,289
山西,2004,17,55883,1357.819848,202
山西,2005,18,128726,2981.214876,303
山西,2006,55,330131,3608.43952,380
山西,2007,65,361508,1918.037745,318
山西,2008,70,242721,5086.777843,234
山西,2009,127,844728,18620.46965,1816
山西,2010,100,491331.8,14240.41936,1098.499
内蒙古,2001,1,157,42,17
内蒙古,2002,1,1,193.080384,29
内蒙古,2003,2,850,260.285935,46
内蒙古,2004,3,23416,443.66454,38
内蒙古,2005,13,19353,1186.824776,108
内蒙古,2006,1,43776,1344.597296,202
内蒙古,2007,1,5500,2372.8302,176
内蒙古,2008,1,3000,4319.081373,253
内蒙古,2009,78,39017,4620.850542,255
内蒙古,2010,12,68012.2,3766.499622,227.307
辽宁,2001,28,687470,42239,8445
辽宁,2002,58,1286728,66619.62821,6421
辽宁,2003,75,1798839,54983.64508,4116
辽宁,2004,306,1524167,81488.79466,4941
辽宁,2005,445,1390985,79508.16168,6089
辽宁,2006,284,6688189,73342.03722,6602
辽宁,2007,246,2013023,125421.7682,7276
辽宁,2008,452,2242149,184738.2682,7171
辽宁,2009,1331,1683838,219499.2756,6279
辽宁,2010,650,2326777.3,265323.5707,4047.363
吉林,2001,23,54429,6908,1206
吉林,2002,28,46469,7724.200464,809
吉林,2003,79,108108,11482.73009,756
吉林,2004,193,159570,15433.33532,695
吉林,2005,126,145114,14048.81083,630
吉林,2006,84,513690,17980.71302,764
吉林,2007,133,271221,11886.00602,700
吉林,2008,147,339629,16172.10454,945
吉林,2009,391,754449,35180.98267,2614
吉林,2010,113,335604.4,19825.69607,1644.446
黑龙江,2001,18,429194,27807,3320
黑龙江,2002,86,555947,50926.92149,4270
黑龙江,2003,66,1035423,62464.60454,4816
黑龙江,2004,90,113052,21420.74306,2679
黑龙江,2005,114,1000191,56272.07354,5500
黑龙江,2006,123,3133807,42276.19519,4160
黑龙江,2007,120,358083,58779.5832,4143
黑龙江,2008,185,384734,74057.47002,4354
黑龙江,2009,354,336064,135585.3792,6225
黑龙江,2010,270,347637.7,162982.2253,4924.457
上海,2001,112,5658263,122712,3547
上海,2002,460,6790753,163149.9692,4468
上海,2003,835,5430952,182810.1683,8555
上海,2004,1804,8307846,301119.2504,5946
上海,2005,1445,12260002,345674.3416,7046
上海,2006,1719,38447816,408172.9705,10007
上海,2007,1931,14490276,491304.9001,11411
上海,2008,1639,16597524,510697.9828,10814
上海,2009,4130,10619996,624220.109,21454
上海,2010,3453,10779646.7,690956.1851,19277.674
江苏,2001,207,2841213,84298,7503
江苏,2002,225,3571039,119608.3724,9520
江苏,2003,676,4822619,152340.6344,9817
江苏,2004,711,5505946,249806.8669,11696
江苏,2005,1000,5438731,385567.4245,18901
江苏,2006,808,22179548,521222.9616,17925
江苏,2007,1634,13643840,763484.1347,23966
江苏,2008,2776,23165261,1003997.65,29373
江苏,2009,7210,22953527,1257995.498,59676
江苏,2010,7528,25657113.1,1386216.809,64495.94
浙江,2001,125,655236,41655,3196
浙江,2002,276,1008739,46103.8523,2809
浙江,2003,353,2342746,101059.2804,5376
浙江,2004,556,2640647,240828.3348,8450
浙江,2005,838,3008169,332051.1298,11572
浙江,2006,1317,9655537,376795.6737,17516
浙江,2007,1997,4948539,405354.3296,16222
浙江,2008,2467,5947937,456627.9636,19736
浙江,2009,6301,7231972,612958.8813,31245
浙江,2010,3358,7409716.1,537941.6378,24484.648
安徽,2001,6,40006,8572,1365
安徽,2002,40,256746,16555.65782,978
安徽,2003,49,260115,29769.07323,1361
安徽,2004,11,160650,7234.827336,610
安徽,2005,43,176980,18915.39896,1404
安徽,2006,36,894497,18930.19626,1464
安徽,2007,72,465488,29802.95546,2410
安徽,2008,185,395410,51678.5921,3874
安徽,2009,906,1140138,64827.98897,4565
安徽,2010,938,688313,125294.3533,6692.685
福建,2001,86,1722300,30663,2854
福建,2002,112,2161543,41351.71061,2554
福建,2003,243,5822633,66342.76448,4081
福建,2004,204,4779840,81041.00301,3835
福建,2005,233,6309434,140537.6436,5275
福建,2006,187,20795750,144827.4416,5473
福建,2007,311,7417323,171796.0286,8226
福建,2008,604,7929680,181522.3562,10716
福建,2009,2302,6486813,311311.809,14113
福建,2010,1865,9075523.7,383295.7306,14034.105
江西,2001,11,138614,19993,5144
江西,2002,33,159167,8329.05432,1215
江西,2003,45,198608,16274.40321,1979
江西,2004,76,314818,37149.16689,4536
江西,2005,202,415763,43493.99418,5442
江西,2006,138,1226970,51408.16783,5655
江西,2007,158,522068,53485.466,6336
江西,2008,151,621304,57089.27475,3361
江西,2009,434,864258,109844.3031,6422
江西,2010,349,1275835.7,107065.8574,5417.722
山东,2001,259,1418978,104919,3852
山东,2002,421,2095107,120943.1883,7175
山东,2003,589,2745205,126432.6367,5879
山东,2004,789,3733570,182045.8785,4979
山东,2005,991,3850256,270849.7909,5837
山东,2006,1102,13843116,302172.5397,7717
山东,2007,1491,6527581,458128.9873,9850
山东,2008,2058,7729983,554141.1899,13450
山东,2009,3371,9100271,592287.3299,17680
山东,2010,3087,10021090.8,628196.5786,15618.005
河南,2001,29,164129,13156,1900
河南,2002,27,277872,13333.38264,1957
河南,2003,85,374933,21698.19932,1605
河南,2004,193,488953,42579.4145,3744
河南,2005,141,482526,29895.04453,3826
河南,2006,278,1788413,35207.48392,4258
河南,2007,395,690435,59876.49681,4670
河南,2008,581,798255,70574.44165,4651
河南,2009,1288,1428131,120079.99,9386
