province,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,,137,277,514,667,741,1046,1288,1463,1160,1589,1074,2334,1449,497,689,1225,1583,2289,2561,3088,2087,2042,2539,3178,4064,1159,1811,2092,1343,3768
天津,137,,419,650,804,707,1012,1354,1326,1023,1452,973,2197,1444,360,831,1367,1725,2431,2703,3198,2091,2185,2681,3320,4174,1301,1948,2235,1480,3911
河北,277,419,,231,871,1126,1431,1673,1267,964,1393,914,1915,1293,301,412,948,1306,2012,2282,2811,1810,1765,2262,2901,3787,923,1599,1815,1547,3491
山西,514,650,231,,640,1255,1560,1802,1498,1195,1624,1145,2521,1944,532,577,1179,1537,2243,2515,2976,1441,1493,2460,2593,3515,651,1327,1543,1316,3219
内蒙古,667,804,871,640,,1408,1713,1955,2130,1827,2256,1777,3303,2674,1164,1362,1898,2256,2962,3234,3747,2081,2133,3100,3233,3332,1291,1144,1360,676,3036
辽宁,741,707,1126,1255,1408,,305,547,2033,1730,2159,1680,2904,2151,1067,1538,1972,2330,3036,3411,3925,2827,2789,3286,3925,4901,1906,2552,2839,2084,4515
吉林,1046,1012,1431,1560,1713,305,,242,2335,2035,2464,1985,3209,2456,1372,1843,2277,2635,3341,6313,4187,3185,3094,3591,4230,5163,2211,2962,3144,2389,4820
黑龙江,1288,1354,1673,1802,1955,547,242,,2577,2277,2706,2227,3451,2689,1614,2085,2519,2877,2928,3855,4433,3431,3336,3833,4472,5409,2453,3099,3386,2631,5062
上海,1463,1326,1267,1498,2130,2033,2335,2577,,303,201,615,1173,837,966,998,1230,1199,1803,2075,2574,2167,2351,2053,3069,4373,1509,2185,2401,2355,4077
江苏,1160,1023,964,1195,1827,1730,2035,2277,303,,429,312,1174,838,663,695,1231,1200,1804,2076,2597,1828,2048,2054,2693,4072,1206,1182,2098,2052,3774
浙江,1589,1452,1393,1624,2256,2159,2464,2706,201,429,,451,972,636,1092,1124,1029,998,1602,1874,2407,2312,2552,1852,2868,4308,1635,2311,2527,2481,4065
安徽,1074,973,914,1145,1777,1680,1985,2227,615,312,451,,1196,478,613,645,1181,1222,1826,2098,2448,1562,1998,2076,3098,3863,1156,1832,2048,2002,3724
福建,2334,2197,1915,2521,3303,2904,3209,3451,1173,1174,972,1196,,622,1837,1549,1013,984,1588,1860,2374,2196,2805,1838,2477,4887,2389,3065,3281,3235,4957
江西,1449,1444,1293,1944,2674,2151,2456,2689,837,838,636,478,622,,1137,927,391,418,1022,1294,1750,1579,2239,1272,1911,4101,1412,2088,2304,2258,4391
山东,497,360,301,532,1164,1067,1372,1614,966,663,1092,613,1837,1137,,666,1202,1560,2151,2538,2795,1956,2019,2516,3119,3925,1177,1853,2069,1840,3745
河南,689,831,412,577,1362,1538,1843,2085,998,695,1124,645,1549,927,666,,536,894,1600,1870,2399,1398,1353,1850,2489,3375,511,1187,1403,1357,3079
湖北,1225,1367,948,1179,1898,1972,2277,2519,1230,1231,1029,1181,1013,391,1202,536,,358,1064,1336,1883,1220,1737,1314,1953,3911,1047,1723,1939,1893,3615
湖南,1583,1725,1306,1537,2256,2330,2635,2877,1199,1200,998,1222,984,418,1560,894,358,,706,978,1501,1094,1923,956,1595,4273,1405,2081,2297,2251,3973
广东,2289,2431,2012,2243,2962,3036,3341,2928,1803,1804,1602,1826,1588,1022,2151,1600,1064,706,,1334,794,1670,2527,1560,2199,4980,2111,2787,3003,2957,4679
广西,2561,2703,2282,2515,3234,3411,6313,3855,2075,2076,1874,2098,1860,1294,2538,1870,1336,978,1334,,739,1338,1832,865,1504,4992,2383,3059,3275,3229,4951
海南,3088,3198,2811,2976,3747,3925,4187,4433,2574,2597,2407,2448,2374,1750,2795,2399,1883,1501,794,739,,1837,2829,1374,1567,5774,2887,3586,3802,3716,5478
重庆,2087,2091,1810,1441,2081,2827,3185,3431,2167,1828,2312,1562,2196,1579,1956,1398,1220,1094,1670,1338,1837,,338,463,1101,3654,747,1466,1682,1596,3358
四川,2042,2185,1765,1493,2133,2789,3094,3336,2351,2048,2552,1998,2805,2239,2019,1353,1737,1923,2527,1832,2829,338,,967,1100,3360,842,1172,1388,1342,3026
