"","flow","ogdp","oexport","oimport","oheavyindustry","olightindustry","oindustryproduct","ostateproduct","dgdp","dexport","dimport","dheavyindustry","dlightindustry","dindustryproduct","dstateproduct","gdistance","home"
"flow",1,0.0584213928029487,-0.072481236988878,-0.0650800957752242,0.0862050979383658,-0.00313162644135785,0.0637531064559738,0.136995005178506,0.244577430684054,0.14480555741337,0.118437621689254,0.231923983536348,0.234725447709023,0.235734162391373,0.213590956192338,-0.477242010467351,0.382851949031328
"ogdp",0.0584213928029487,1,0.875458672550984,0.859577928546085,0.968774760927859,0.948679981924177,0.978608929219859,0.876389637536586,4.86060531205728e-21,1.87013518117355e-21,8.2789038961814e-21,1.17057572557161e-21,3.74367882747539e-22,-2.43352406886716e-21,2.93317617499525e-21,-0.171720853448723,0
"oexport",-0.072481236988878,0.875458672550984,1,0.943654740242424,0.871917325198067,0.860733885511645,0.885234478835377,0.727186931564868,4.14897540194133e-21,-3.45288872494424e-21,3.30333862759874e-21,7.33277953740398e-22,7.93552023455122e-21,1.68830335529668e-21,9.62175769643478e-22,-0.105589138767884,5.89459011689002e-21
"oimport",-0.0650800957752242,0.859577928546085,0.943654740242424,1,0.854603708334414,0.803853950223673,0.854130982690142,0.795438952386922,-2.04084607673309e-21,-6.75578095313935e-21,1.38564875927005e-20,-4.9620342652991e-21,-9.29285597404137e-23,-4.86379381355575e-21,7.28096212225073e-22,-0.0736630473375115,-5.16488847871578e-21
"oheavyindustry",0.0862050979383658,0.968774760927859,0.871917325198067,0.854603708334414,1,0.918180727216177,0.993645573774809,0.894075562306725,3.69181574987969e-21,6.03875961903857e-22,-1.25168431917455e-21,4.86084209611519e-21,4.45476549942983e-21,-4.31075481557046e-21,4.16394747636138e-22,-0.212238774837015,5.06482433630604e-21
"olightindustry",-0.00313162644135785,0.948679981924177,0.860733885511645,0.803853950223673,0.918180727216177,1,0.954577518031319,0.755279402811884,-4.86678247571801e-21,-4.70751200354733e-21,-2.72590441905213e-21,-3.15093169471866e-21,-3.01156439206134e-22,-4.75905074180421e-21,4.84736469945473e-21,-0.159715489225554,5.39935897026285e-21
"oindustryproduct",0.0637531064559738,0.978608929219859,0.885234478835377,0.854130982690142,0.993645573774809,0.954577518031319,1,0.864386584058025,5.11879200692747e-21,2.41186193613812e-22,-6.28023055583323e-21,-2.11884558731429e-21,3.94899955170987e-21,1.36179831548468e-21,5.63964755357112e-21,-0.200511448779013,-7.98776358269337e-21
"ostateproduct",0.136995005178506,0.876389637536586,0.727186931564868,0.795438952386922,0.894075562306725,0.755279402811884,0.864386584058025,1,-7.77929333368304e-21,6.79632091256108e-21,-7.28096212225073e-22,-4.71914047320956e-22,-7.0017490103235e-21,-3.88049143594343e-21,-1.72989925383512e-21,-0.172407222172532,1.37947932179443e-21
"dgdp",0.244577430684054,4.86060531205728e-21,4.14897540194133e-21,-2.04084607673309e-21,3.69181574987969e-21,-4.86678247571801e-21,5.11879200692747e-21,-7.77929333368304e-21,1,0.875458672550984,0.859577928546085,0.968774760927859,0.948679981924177,0.978608929219859,0.876389637536586,-0.171720853448723,4.92209575050449e-21
"dexport",0.14480555741337,1.87013518117355e-21,-3.45288872494424e-21,-6.75578095313935e-21,6.03875961903857e-22,-4.70751200354733e-21,2.41186193613812e-22,6.79632091256108e-21,0.875458672550984,1,0.943654740242424,0.871917325198067,0.860733885511645,0.885234478835377,0.727186931564868,-0.105589138767884,0
"dimport",0.118437621689254,8.2789038961814e-21,3.30333862759874e-21,1.38564875927005e-20,-1.25168431917455e-21,-2.72590441905213e-21,-6.28023055583323e-21,-7.28096212225073e-22,0.859577928546085,0.943654740242424,1,0.854603708334414,0.803853950223673,0.854130982690142,0.795438952386922,-0.0736630473375115,7.60293798641066e-20
"dheavyindustry",0.231923983536348,1.17057572557161e-21,7.33277953740398e-22,-4.9620342652991e-21,4.86084209611519e-21,-3.15093169471866e-21,-2.11884558731429e-21,-4.71914047320956e-22,0.968774760927859,0.871917325198067,0.854603708334414,1,0.918180727216177,0.993645573774809,0.894075562306725,-0.212238774837015,4.87002340029426e-20
"dlightindustry",0.234725447709023,3.74367882747539e-22,7.93552023455122e-21,-9.29285597404137e-23,4.45476549942983e-21,-3.01156439206134e-22,3.94899955170987e-21,-7.0017490103235e-21,0.948679981924177,0.860733885511645,0.803853950223673,0.918180727216177,1,0.954577518031319,0.755279402811884,-0.159715489225554,-7.93705768628639e-20
"dindustryproduct",0.235734162391373,-2.43352406886716e-21,1.68830335529668e-21,-4.86379381355575e-21,-4.31075481557046e-21,-4.75905074180421e-21,1.36179831548468e-21,-3.88049143594343e-21,0.978608929219859,0.885234478835377,0.854130982690142,0.993645573774809,0.954577518031319,1,0.864386584058025,-0.200511448779013,4.79265814961602e-20
"dstateproduct",0.213590956192338,2.93317617499525e-21,9.62175769643478e-22,7.28096212225073e-22,4.16394747636138e-22,4.84736469945473e-21,5.63964755357112e-21,-1.72989925383512e-21,0.876389637536586,0.727186931564868,0.795438952386922,0.894075562306725,0.755279402811884,0.864386584058025,1,-0.172407222172532,-4.13843796538328e-20
