"province","inflow","outflow","netflow"
"北京",2785,1375,1410
"天津",11656,7343,4313
"河北",62478,18038,44440
"山西",10703,66161,-55458
"内蒙古",13148,42929,-29781
"辽宁",32729,18714,14015
"吉林",10299,7505,2794
"黑龙江",16629,16823,-194
"上海",1819,884,935
"江苏",10483,7273,3210
"浙江",6797,4092,2705
"安徽",10167,12500,-2333
"福建",3894,3758,136
"江西",9401,5760,3641
"山东",23292,19931,3361
"河南",13704,12970,734
"湖北",11160,5943,5217
"湖南",10703,6016,4687
"广东",7092,7690,-598
"广西",8639,6736,1903
"重庆",4075,2090,1985
"四川",12781,8029,4752
"贵州",5247,7209,-1962
"云南",5463,5203,260
"陕西",5882,10540,-4658
"甘肃",7565,6428,1137
"青海",2608,3543,-935
"宁夏",1787,4757,-2970
"新疆",4050,6796,-2746
